Chain ID,Transaction Hash,User,Log Index,Effective PT Trade Volume,Swap Fee,Effective Implied Yield,Post Swap Implied Yield
1,0x1015f5c38a46840a47b7424411f8f6ab4a539ef486b2ffb3b0f633b53d7264b0,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,225,696.847872,1.01069,0.063326,0.042283
42161,0x6c364266a7e9e42a02dddf0641d34285bc08f7217a62186ea479711d9e289f10,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,16,35.511448,0.033832,0.033119,0.035166
42161,0x5e1c4261b7a0e61cfb2ca0d81c9aaa8d1cbe329485bebf13e6bbd5cac2ed8061,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,15,7.151834,0.005033,0.106982,0.145296
42161,0x91f81517ebd2847402eabbcbafdb621172010ea5d2ccc2771b8d0f6dfc8a7c6e,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,10,7.14886,0.005031,0.107763,0.145296
42161,0x0c64d35cedcac1e587252af4b50db3b5a4ed2664ce3cd4c21ac3048c9b7b80eb,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,9,150.409546,0.143302,0.030455,0.031457
42161,0x7e89133d93882ad919532a6251e1e1d5a8fb1e7e4166c85fa922a19fed97d192,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,10,238.136654,0.167601,0.060447,0.083319
42161,0x7396ef73e5ff3c5ca3ab4aec3e5460c84013e9fbceb5c6e1ad05a0caaee4776b,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,21,149.756911,0.291744,0.068386,0.033905
42161,0x1785696e36d56f354e9b40362ab813cff173f49e34864c42841e9f8f4c170d65,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,19,5.004766,0.004767,0.029472,0.031455
42161,0x8b0e85b014e5f0e7aa7923c2f3bf6369d81d3219a1125b0d7e44e8b31e33c0fc,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,19,48.756423,0.034316,0.107773,0.145297
42161,0xf1c054b8702979dbc3383a0a95a335f0b3630dccc502db0e786a53ebc14c1fa4,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,35,1017.998754,0.7165,0.107773,0.145296
42161,0xec9eba3bdcdd94ce1ec0a52ca3aac43d790b52f4e0f79899bc36eb69b01aa7dc,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,39,1145.964632,1.091904,0.034109,0.035166
42161,0x6a7d683e9b1249be54d67126aa40b7aae8de60f3c0fe9979fd403ceb52bdfdb9,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,61,4444.133887,3.128146,0.106981,0.145273
42161,0x4832b3b169300dcf2e00d6b276566bc439e50a6c5a6a96bde3dfe2622ec81820,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,25,150.049199,0.292323,0.066305,0.033904
42161,0x4e50209d239d7b97a0eb1d734eb58cac283a5bf87df1ecbe4032202f07cbf155,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,27,1159.94345,0.816472,0.107842,0.145373
1,0x40191546fe25fea379a2fdf8e57c3a8fd2772fd7f828ff3e0aca3266499fe7e4,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,252,16947.981709,20.367623,0.033568,0.028444
42161,0xc6edbc54fff9d3a3d1b15b535c79b3ade52172b96db6c6e3ab45586f23a05a86,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,28,10.60452,0.020659,0.054743,0.028316
42161,0x2b7ffa1b854f80907eb7e7476ce0420899af5b60b26f06889e051492a6d1b359,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,26,10.525689,0.020506,0.066309,0.033905
56,0x8758383f95c63a5a58c0ef2fe47700102cbdf427c6b79bf11ff340e316c843ba,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,81,12691.123785,18.410561,0.044643,0.031071
